channel_id,month,subscriber_count,monthly_views
CH001,2025-06-01,7339191,90082108
CH001,2025-07-01,7561367,97302748
CH001,2025-08-01,7651133,88966942
CH001,2025-09-01,7688896,102606506
CH001,2025-10-01,8170181,85881345
CH001,2025-11-01,7995287,108693169
CH001,2025-12-01,7909685,101839393
CH001,2026-01-01,8234154,104678917
CH001,2026-02-01,8163835,81661219
CH001,2026-03-01,8268146,70654848
CH001,2026-04-01,8262464,109161848
CH001,2026-05-01,8393343,70784235
CH002,2025-06-01,3694143,33612332
CH002,2025-07-01,3806574,28387535
CH002,2025-08-01,3913547,40025415
CH002,2025-09-01,3802588,39609012
CH002,2025-10-01,3884478,33838652
CH002,2025-11-01,4083907,41046363
CH002,2025-12-01,3972705,34838029
CH002,2026-01-01,3990226,35258135
CH002,2026-02-01,4143821,28758099
CH002,2026-03-01,4254840,38386020
CH002,2026-04-01,4061556,40694039
CH002,2026-05-01,4291296,32147658
CH003,2025-06-01,10734243,138490192
CH003,2025-07-01,11190170,108089896
CH003,2025-08-01,11075821,138496296
CH003,2025-09-01,11456954,97046053
CH003,2025-10-01,11208399,139200785
CH003,2025-11-01,10939267,116288182
CH003,2025-12-01,11515683,120974074
CH003,2026-01-01,11756752,96773242
CH003,2026-02-01,11922960,108199786
CH003,2026-03-01,12078782,115356449
CH003,2026-04-01,11560130,143938858
CH003,2026-05-01,12291504,111593675
CH004,2025-06-01,2725004,28844662
CH004,2025-07-01,2894496,25203074
CH004,2025-08-01,2919397,25693259
CH004,2025-09-01,2903618,26319054
CH004,2025-10-01,2811939,33076474
CH004,2025-11-01,2858422,33180093
CH004,2025-12-01,2876792,24920088
CH004,2026-01-01,3075948,29692633
CH004,2026-02-01,2955953,28882803
CH004,2026-03-01,2984830,32323929
CH004,2026-04-01,2987836,28123332
CH004,2026-05-01,3021255,30137256
CH005,2025-06-01,2208108,21033806
CH005,2025-07-01,2148860,16243379
CH005,2025-08-01,2135099,21376926
CH005,2025-09-01,2152719,19403268
CH005,2025-10-01,2220604,22361796
CH005,2025-11-01,2266858,18757960
CH005,2025-12-01,2355832,22151030
CH005,2026-01-01,2327548,20752551
CH005,2026-02-01,2360295,17779249
CH005,2026-03-01,2290780,20120143
CH005,2026-04-01,2420251,15274245
CH005,2026-05-01,2366745,20236116
CH006,2025-06-01,1568920,14349393
CH006,2025-07-01,1650473,12387144
CH006,2025-08-01,1616877,12501624
CH006,2025-09-01,1646425,13861635
CH006,2025-10-01,1709106,15342270
CH006,2025-11-01,1644034,14556414
CH006,2025-12-01,1695372,15207940
CH006,2026-01-01,1684863,13537035
CH006,2026-02-01,1759807,12231181
CH006,2026-03-01,1829670,10954824
CH006,2026-04-01,1745562,14078092
CH006,2026-05-01,1810513,11870548
CH007,2025-06-01,5463087,50788528
CH007,2025-07-01,5742822,61616537
CH007,2025-08-01,5564032,56993961
CH007,2025-09-01,5887246,69946247
