video_id,channel_id,title,published_at,views,likes,duration_seconds
VID00001,CH001,Formula Classics — Video 1,2025-08-29,166334,4721,760
VID00002,CH001,Formula Classics — Video 2,2025-03-25,798168,38848,3247
VID00003,CH001,Formula Classics — Video 3,2025-03-08,1946375,87612,2290
VID00004,CH001,Formula Classics — Video 4,2024-12-16,605392,20555,532
VID00005,CH001,Formula Classics — Video 5,2025-04-08,268772,11302,252
VID00006,CH001,Formula Classics — Video 6,2025-01-24,979725,41132,1586
VID00007,CH001,Formula Classics — Video 7,2025-03-09,1019203,40411,162
VID00008,CH001,Formula Classics — Video 8,2025-01-21,1327414,56770,2164
VID00009,CH001,Formula Classics — Video 9,2025-02-16,630906,38576,313
VID00010,CH001,Formula Classics — Video 10,2025-09-23,1911468,72277,386
VID00011,CH001,Formula Classics — Video 11,2025-11-13,1044440,80350,366
VID00012,CH001,Formula Classics — Video 12,2024-10-14,576460,43223,2804
VID00013,CH001,Formula Classics — Video 13,2025-09-04,1920767,93838,484
VID00014,CH001,Formula Classics — Video 14,2025-04-06,1849992,73447,1115
VID00015,CH001,Formula Classics — Video 15,2025-12-19,1000833,52169,2863
VID00016,CH001,Formula Classics — Video 16,2025-07-01,54594,3871,3842
VID00017,CH001,Formula Classics — Video 17,2025-04-20,1195887,70742,1937
VID00018,CH001,Formula Classics — Video 18,2025-02-09,1112620,75951,531
VID00019,CH001,Formula Classics — Video 19,2025-04-23,300675,15624,336
VID00020,CH001,Formula Classics — Video 20,2025-08-22,1269780,73615,2290
VID00021,CH001,Formula Classics — Video 21,2024-06-09,1682383,62734,213
VID00022,CH001,Formula Classics — Video 22,2025-05-03,216265,13861,423
VID00023,CH001,Formula Classics — Video 23,2024-09-29,1448028,46545,2080
VID00024,CH001,Formula Classics — Video 24,2024-11-20,284977,17579,3435
VID00025,CH001,Formula Classics — Video 25,2025-03-30,1498908,107386,1747
VID00026,CH001,Formula Classics — Video 26,2024-08-03,841133,23489,4165
VID00027,CH001,Formula Classics — Video 27,2026-02-07,17989,1022,1103
VID00028,CH001,Formula Classics — Video 28,2024-07-09,1932632,49679,372
VID00029,CH001,Formula Classics — Video 29,2024-08-30,336110,21357,2273
VID00030,CH001,Formula Classics — Video 30,2025-05-09,1194104,29935,3954
